NoteNumber,EmployeeNumber,LocationType,LocationCode,GrossPay,Deductions,NetPay,ActualGrossPay,,Servicetype,EmployeeType,ServiceStatus,CentreCode,TotalPaidDays,,,,,,,,
200001-EPC-20070201-00013,76332,2,19,3018,0,3018,3018,,3,1,2,19,30.46,,,,,,,,
200001-EPC-20070201-00013,76665,2,19,0,0,0,0,,3,1,2,19,0,,,,,,,,
200001-EPC-20070201-00013,336976,2,19,0,0,0,0,,3,1,2,19,0,,,,,,,,
200001-EPC-20070201-00013,336977,2,19,4162,0,4162,4162,,3,1,2,19,31,,,,,,,,
200001-EPC-20070201-00013,337138,2,19,1466,0,1466,1466,,3,1,2,19,15.23,,,,,,,,
200001-EPC-20070201-00014,39474,2,21,1623,151,1472,1623,,3,1,4,21,16.43,,,,,,,,
200001-EPC-20070201-00014,39475,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,39477,2,21,1174,109,1065,1174,,3,1,4,21,12.92,,,,,,,,
200001-EPC-20070201-00014,39478,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,39480,2,21,1467,136,1331,1467,,3,1,4,21,14.77,,,,,,,,
200001-EPC-20070201-00014,40964,2,21,1331,124,1207,1331,,3,1,4,21,13.48,,,,,,,,
200001-EPC-20070201-00014,44471,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,44511,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,44512,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,44513,2,21,1907,177,1730,1907,,3,1,4,21,19.2,,,,,,,,
200001-EPC-20070201-00014,44515,2,21,1541,143,1398,1541,,3,1,4,21,15.51,,,,,,,,
200001-EPC-20070201-00014,44573,2,21,1907,177,1730,1907,,3,1,4,21,19.2,,,,,,,,
200001-EPC-20070201-00014,44574,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,57993,2,21,1394,129,1265,1394,,3,1,4,21,14.03,,,,,,,,
200001-EPC-20070201-00014,57994,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,63247,2,21,1110,103,1007,1110,,3,1,4,21,11.26,,,,,,,,
200001-EPC-20070201-00014,63248,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,63249,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,63250,2,21,1467,136,1331,1467,,3,1,4,21,14.77,,,,,,,,
200001-EPC-20070201-00014,63251,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,65163,2,21,0,0,0,0,,3,1,4,21,0,,,,,,,,
200001-EPC-20070201-00014,73422,2,21,1550,144,1406,1550,,3,1,4,21,15.69,,,,,,,,
200001-EPC-20070201-00014,73482,2,21,1541,143,1398,1541,,3,1,4,21,15.51,,,,,,,,
200001-EPC-20070201-00014,76330,2,21,2421,0,2421,2421,,3,1,2,21,24.92,,,,,,,,
200001-EPC-20070201-00014,336972,2,21,0,0,0,0,,3,1,2,21,0,,,,,,,,
200001-EPC-20070201-00014,336973,2,21,2232,0,2232,2232,,3,1,2,21,23.26,,,,,,,,
200001-EPC-20070201-00014,337139,2,21,954,0,954,954,,3,1,2,21,9.6,,,,,,,,
200001-EPC-20070201-00014,337158,2,21,1426,0,1426,1426,,3,1,2,21,14.58,,,,,,,,
200001-EPC-20070201-00015,39484,2,23,1467,136,1331,1467,,3,1,4,23,14.77,,,,,,,,
200001-EPC-20070201-00015,57918,2,23,1760,163,1597,1760,,3,1,4,23,17.72,,,,,,,,
200001-EPC-20070201-00015,63252,2,23,0,0,0,0,,3,1,4,23,0,,,,,,,,
200001-EPC-20070201-00015,63253,2,23,1854,172,1682,1854,,3,1,4,23,18.83,,,,,,,,
200001-EPC-20070201-00015,67717,2,23,1394,129,1265,1394,,3,1,4,23,14.03,,,,,,,,
200001-EPC-20070201-00015,72798,2,23,660,61,599,660,,3,1,4,23,6.65,,,,,,,,
200001-EPC-20070201-00015,73483,2,23,0,0,0,0,,3,1,4,23,0,,,,,,,,
200001-EPC-20070201-00015,73486,2,23,1100,102,998,1100,,3,1,4,23,11.08,,,,,,,,
200001-EPC-20070201-00015,73675,2,23,4893,0,4893,4893,,3,1,2,23,31,,,,,,,,
200001-EPC-20070201-00015,332423,2,23,0,0,0,0,,3,1,2,23,0,,,,,,,,
200001-EPC-20070201-00015,333274,2,23,0,0,0,0,,3,1,2,23,0,,,,,,,,
200001-EPC-20070201-00015,333275,2,23,0,0,0,0,,3,1,2,23,0,,,,,,,,
